tree, lambdaD, lambdaL, node, sequence
83, 0.2430071, 0.5453772, a, 01212000111121101011
83, 0.2430071, 0.5453772, b, 01211021121101100010
83, 0.2430071, 0.5453772, c, 21210220101210101111
84, 0.3466881, 2.070321, a, 11100010012000001021
84, 0.3466881, 2.070321, b, 02000001102101102020
84, 0.3466881, 2.070321, c, 20020000012120002102
85, 0.3381705, 0.8181043, a, 00011020002012002002
85, 0.3381705, 0.8181043, b, 00010021001112010110
85, 0.3381705, 0.8181043, c, 01001100000011001220
86, 0.426928, 0.3453909, a, 11000010000112112101
86, 0.426928, 0.3453909, b, 11111011010212010020
86, 0.426928, 0.3453909, c, 11000210210101000111
87, 2.227319, 8.405177, a, 12002001000200220210
87, 2.227319, 8.405177, b, 01012001001210002000
87, 2.227319, 8.405177, c, 00000000000002000100
88, 0.6857384, 0.6724573, a, 00110000000021100021
88, 0.6857384, 0.6724573, b, 22020000001010211011
88, 0.6857384, 0.6724573, c, 00002100220200200102
89, 0.04270326, 0.2574671, a, 12010000200101101102
89, 0.04270326, 0.2574671, b, 02011010111111012001
89, 0.04270326, 0.2574671, c, 11111110000101210110
90, 0.1063634, 3.228056, a, 10122000010020201001
90, 0.1063634, 3.228056, b, 00020210202010212210
90, 0.1063634, 3.228056, c, 10020122002102202110
91, 1.702723, 0.8767986, a, 00001100012000101000
91, 1.702723, 0.8767986, b, 01120210100211102200
91, 1.702723, 0.8767986, c, 01010101002001000002
92, 0.2908567, 1.152411, a, 11200120000202100011
92, 0.2908567, 1.152411, b, 00010001110111010101
92, 0.2908567, 1.152411, c, 12001001011002010100
93, 1.037033, 0.2743804, a, 02110011110101110011
93, 1.037033, 0.2743804, b, 10110000110112211112
93, 1.037033, 0.2743804, c, 12010110000021200101
94, 0.4863702, 0.8022108, a, 21000012010000120000
94, 0.4863702, 0.8022108, b, 11021001100012000021
94, 0.4863702, 0.8022108, c, 12001011001221102011
95, 0.3075264, 1.366607, a, 20121120001000012101
95, 0.3075264, 1.366607, b, 00121120202010121201
95, 0.3075264, 1.366607, c, 10002200212000002000
96, 0.4445828, 0.6981956, a, 01110112012021211101
96, 0.4445828, 0.6981956, b, 00000200111010201202
96, 0.4445828, 0.6981956, c, 11001001111011100010
97, 0.4020203, 0.1959237, a, 00111011010000100110
97, 0.4020203, 0.1959237, b, 10001100110001000100
97, 0.4020203, 0.1959237, c, 11122000000001201011
98, 0.6439002, 3.000094, a, 20022100201101002100
98, 0.6439002, 3.000094, b, 00020000100002200020
98, 0.6439002, 3.000094, c, 00200110001010120020
99, 0.2548405, 3.915786, a, 20100020102200202001
99, 0.2548405, 3.915786, b, 00100020022200202020
99, 0.2548405, 3.915786, c, 20100110011120110000
100, 0.2857436, 0.3082695, a, 01021111101012111200
100, 0.2857436, 0.3082695, b, 10000001121011010221
100, 0.2857436, 0.3082695, c, 02200000000001111100
