tree, lambdaD, lambdaL, node, sequence
96, 3, 2, a, 22000202020000201200
96, 3, 2, b, 00020200220000020112
96, 3, 2, c, 01010001012001200002
97, 3, 2, a, 11000101120000000100
97, 3, 2, b, 02000100100200020000
97, 3, 2, c, 21011121021202200022
98, 3, 2, a, 00020110000222000100
98, 3, 2, b, 00011020000010001000
98, 3, 2, c, 00010100110100012100
99, 3, 2, a, 20021000010000210200
99, 3, 2, b, 00210012211010000002
99, 3, 2, c, 10012110200000020000
100, 3, 2, a, 00120020002000112201
100, 3, 2, b, 10001100212000002000
100, 3, 2, c, 00000000010010101020
